Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,RH,WS,WD,SR,BP,VWS,AT,Xylene
2023-01-01,160.84,301.35,198.75,95.49,214.98,37.98,14.41,2.42,13.36,8.35,35.45,8.2,76.37,0.72,188.82,54.36,974.24,0.38,16.09,7.4
2023-01-02,245.8,389.87,76.64,74.26,102.0,36.2,14.57,1.96,11.17,8.88,36.21,8.2,83.42,1.13,95.59,52.22,974.69,0.19,15.37,5.98
2023-01-03,270.96,417.47,95.24,72.6,116.27,31.84,13.35,2.05,9.94,8.5,29.17,8.2,77.97,0.88,171.54,51.97,974.53,0.24,14.64,4.99
2023-01-04,247.57,385.91,137.07,76.88,152.67,29.7,16.11,2.31,9.73,8.51,29.93,8.2,82.23,0.92,192.3,53.15,974.56,0.19,13.49,6.17
2023-01-05,321.72,509.01,158.5,95.91,180.23,40.62,19.17,2.37,9.18,10.78,55.36,8.2,84.88,0.79,173.65,51.69,974.67,0.34,13.28,10.71
2023-01-06,350.16,543.61,169.95,139.61,212.8,35.01,15.93,2.27,9.41,11.2,41.31,8.2,82.71,1.02,128.54,53.23,974.58,0.61,13.12,6.53
2023-01-07,319.39,456.0,184.69,113.19,210.77,26.04,15.54,2.29,9.34,10.93,48.85,8.2,80.97,0.86,196.61,57.45,974.44,0.62,13.17,9.28
2023-01-08,344.51,521.46,205.38,98.5,222.49,44.21,16.56,2.72,9.68,10.81,48.29,8.2,83.32,0.71,164.69,52.29,974.55,0.59,11.65,10.64
2023-01-09,494.15,685.09,172.58,102.5,195.21,53.57,16.52,2.58,10.83,14.97,79.53,8.2,87.64,0.79,71.5,48.92,974.78,0.42,10.91,19.6
2023-01-10,295.65,455.45,172.01,93.86,191.66,55.38,13.63,2.18,8.92,11.66,72.07,8.2,84.16,0.82,197.2,51.61,974.57,0.28,11.58,14.81
2023-01-11,208.49,321.88,63.91,79.2,94.23,56.11,11.02,1.92,10.01,8.68,47.83,8.2,84.07,1.71,129.39,52.97,974.75,0.38,11.46,5.11
2023-01-12,219.76,337.08,31.16,73.9,64.7,54.51,14.85,2.05,12.04,9.04,48.56,8.2,81.61,2.03,72.7,52.48,974.61,0.57,12.82,3.51
2023-01-13,225.83,335.02,75.65,86.13,103.11,52.52,13.97,2.24,13.45,9.71,47.39,8.2,81.22,1.79,112.26,52.36,974.49,0.45,13.63,3.68
2023-01-14,190.25,324.56,120.19,77.9,139.46,39.39,16.26,1.88,11.66,7.76,16.37,8.2,74.28,1.77,252.48,52.68,974.02,0.75,12.71,3.36
2023-01-15,134.86,341.29,174.44,104.36,194.53,33.44,16.79,2.09,11.8,5.74,18.56,8.2,57.49,1.41,244.12,55.38,973.06,0.78,11.4,4.14
2023-01-16,216.69,503.8,224.18,112.33,241.89,32.16,18.37,2.4,11.24,8.34,36.48,8.2,64.01,0.93,220.14,55.59,973.31,0.76,11.31,6.42
2023-01-17,228.82,447.0,169.34,93.29,182.25,20.13,13.61,2.19,11.6,7.22,41.86,8.2,60.77,0.97,225.97,55.09,973.11,0.74,11.35,9.37
2023-01-18,303.85,578.25,241.95,113.27,265.98,33.33,66.15,2.16,11.77,6.77,75.27,8.2,63.04,0.83,217.71,55.08,973.31,0.68,11.4,17.48
2023-01-19,268.0,535.44,179.6,122.07,210.47,40.61,25.08,2.3,13.1,9.41,82.66,8.2,57.41,0.78,168.38,52.75,973.01,0.66,13.66,13.64
2023-01-20,109.19,229.7,58.83,56.42,77.97,41.92,25.63,1.54,13.75,4.9,17.61,8.2,65.54,1.4,147.69,54.44,973.38,0.6,14.22,2.74
2023-01-21,237.3,417.81,108.57,78.59,130.32,34.33,26.18,2.2,16.79,7.71,57.06,8.2,73.63,0.89,87.03,54.32,973.76,0.57,13.56,6.28
