Date,Event
12-11-2023,diwali
13-11-2023,diwali
03-11-2023,crop_burning
04-11-2023,crop_burning
05-11-2023,crop_burning
25-10-2023,crop_burning
26-10-2023,crop_burning
22-05-2023,dust
23-05-2023,dust
05-06-2023,dust
06-06-2023,dust
05-10-2023,clean
06-10-2023,clean
28-09-2023,clean
29-09-2023,clean
27-12-2023,winter_smog
28-12-2023,winter_smog
13-01-2024,winter_smog
14-01-2024,winter_smog
30-12-2023,winter_smog
31-10-2024,diwali
01-11-2024,diwali
25-10-2024,crop_burning
26-10-2024,crop_burning
03-11-2024,crop_burning
04-11-2024,crop_burning
25-04-2024,crop_burning
26-04-2024,crop_burning
05-06-2024,dust
06-06-2024,dust
28-05-2024,dust
29-05-2024,dust
28-09-2024,clean
29-09-2024,clean
02-10-2024,clean
03-10-2024,clean
13-01-2024,winter_smog
14-01-2024,winter_smog
15-01-2024,winter_smog
27-12-2024,winter_smog
28-12-2024,winter_smog
20-10-2025,diwali
21-10-2025,diwali
02-11-2025,crop_burning
03-11-2025,crop_burning
25-10-2025,crop_burning
26-10-2025,crop_burning
15-05-2025,dust
16-05-2025,dust
10-06-2025,dust
11-06-2025,dust
02-10-2025,clean
03-10-2025,clean
25-09-2025,clean
26-09-2025,clean
03-01-2025,winter_smog
04-01-2025,winter_smog
05-01-2025,winter_smog
27-12-2025,winter_smog
28-12-2025,winter_smog
15-07-2023,normal
20-08-2023,normal
20-03-2024,normal
10-07-2024,normal
15-02-2025,normal
10-08-2025,normal
