Method,n_components,k_clusters,Silhouette,Dunn_Index
PCA_full,2,2,0.4241859740675103,0.005153722911400699
PCA_full,2,3,0.42325223749629026,0.004313069438337585
PCA_full,2,4,0.38774807174713155,0.005533237721595769
PCA_full,2,5,0.3878203353310498,0.011591834314896503
PCA_full,2,6,0.39273428183375664,0.008450437888626048
PCA_full,2,7,0.3901765420349743,0.010427551759806196
PCA_full,2,8,0.3964699083231244,0.009242797156480544
PCA_randomized,2,2,0.42418616038165163,0.005152918437722159
PCA_randomized,2,3,0.42325283244912126,0.004313008619953419
PCA_randomized,2,4,0.38774855237953537,0.005532050869211737
PCA_randomized,2,5,0.38782051587712324,0.011591296362103801
PCA_randomized,2,6,0.3927341920787729,0.008446478528494684
PCA_randomized,2,7,0.39017628538217414,0.010427481489665127
PCA_randomized,2,8,0.39646965465507394,0.009242723929066474
GRP,2,2,0.5127378260973373,0.006654949223761716
GRP,2,3,0.39157802997227115,0.001569320672522698
GRP,2,4,0.3986354599386712,0.0022133413059679955
GRP,2,5,0.36012811106351694,0.004413057996923102
GRP,2,6,0.3695965758298878,0.001283803844335863
GRP,2,7,0.36848942458487005,0.003715381251734767
GRP,2,8,0.3660330817854121,0.003949096657816948
SRP,2,2,0.457837490822267,0.003433573966078003
SRP,2,3,0.4085668104643962,0.004386866894241359
SRP,2,4,0.40180749973177654,0.0020517399662126133
SRP,2,5,0.3997281501823917,0.004708900411697841
SRP,2,6,0.4125293394962455,0.0036717536085437963
SRP,2,7,0.4108065964030977,0.006144656636689252
SRP,2,8,0.4215816991339647,0.0058188325037313035
PCA_full,3,2,0.3550981278268591,0.014769891233956388
PCA_full,3,3,0.3112609066553006,0.009088834604851685
PCA_full,3,4,0.3474458491132061,0.012915320757722316
PCA_full,3,5,0.3276940246253262,0.012907563059094011
PCA_full,3,6,0.3317714957264813,0.01412481723563572
PCA_full,3,7,0.3280207545394756,0.017646628412113837
PCA_full,3,8,0.32620367924502075,0.017066069317800397
PCA_randomized,3,2,0.3551164590204706,0.01464531621670642
PCA_randomized,3,3,0.30989551015323785,0.013053020388281447
PCA_randomized,3,4,0.34970010115570366,0.011587079676939754
PCA_randomized,3,5,0.32797161635542166,0.012892138565675585
PCA_randomized,3,6,0.3325129599645353,0.01447640874983473
PCA_randomized,3,7,0.32885825629764887,0.01780704201939733
PCA_randomized,3,8,0.3268479313404291,0.02161597799192668
GRP,3,2,0.3351543769096106,0.009236821532653273
GRP,3,3,0.3520111039270616,0.011543852898233137
GRP,3,4,0.29305953400724505,0.007942823060137324
GRP,3,5,0.3200813810733577,0.008122287006280926
GRP,3,6,0.32887357740129863,0.009494409908982279
GRP,3,7,0.30214367128242603,0.00983785138435433
GRP,3,8,0.2988432526388277,0.00989263968734066
SRP,3,2,0.4792128902330857,0.007416028725154786
SRP,3,3,0.3629957133720048,0.004806726454246046
SRP,3,4,0.30206841274687407,0.007435577808738737
SRP,3,5,0.3086214593078602,0.004486226626432072
SRP,3,6,0.2776347260203826,0.0061279107278704465
SRP,3,7,0.31244363713166223,0.009541797153648309
SRP,3,8,0.28177787145047023,0.0079984694170696
PCA_full,4,2,0.31326631212481043,0.015346931140749243
PCA_full,4,3,0.25869862380432246,0.007921238674410542
PCA_full,4,4,0.296534055170605,0.009525436188803795
PCA_full,4,5,0.2703032242090789,0.009931123288452935
PCA_full,4,6,0.2783311660457824,0.01863177239897632
PCA_full,4,7,0.29982994856983386,0.013140848077811528
PCA_full,4,8,0.29514637205953653,0.011474851800788125
PCA_randomized,4,2,0.3132691912764563,0.015350208132291359
